time_s,ueIndex,x,y,servingCellId
3,5,526.777,624.713,1
3,6,229.527,515.407,2
3,7,503.071,416.326,3
3,8,453.009,376.122,2
3,9,723.865,368.312,3
3,10,688.276,586.864,3
3,11,459.235,746.173,1
3,12,424.664,497.831,2
3,13,607.425,345.252,3
3,14,283.052,474.066,2
3,15,294.033,699.442,1
3,16,275.076,547.625,2
3,17,618.594,417.483,3
3,18,631.862,635.323,1
3,19,383.504,665.995,1
3,20,460.014,307.571,2
3,21,502.48,232.593,3
3,22,485.297,772.891,1
3,23,500.573,712.009,1
3,24,487.331,297.408,2
3,25,671.976,354.346,3
3,26,286.203,686.268,1
3,27,529.762,722.492,1
3,28,265.189,464.173,2
3,29,278.737,641.963,1
3.5,0,623.153,705.41,1
3.5,1,359.906,730.002,1
3.5,2,240.877,384.783,2
3.5,3,205.165,530.202,2
3.5,4,388.307,247.771,2
3.5,5,525.463,625.438,1
3.5,6,229.331,513.92,2
3.5,7,501.573,416.406,3
3.5,8,454.431,375.644,2
3.5,9,725.124,369.127,3
3.5,10,689.439,585.916,3
3.5,11,460.716,745.936,1
3.5,12,423.277,497.261,2
3.5,13,608.771,344.588,3
3.5,14,282.859,475.554,2
3.5,15,294.453,700.881,1
3.5,16,276.175,548.646,2
3.5,17,617.167,417.948,3
3.5,18,630.662,634.423,1
3.5,19,383.335,667.486,1
3.5,20,459.199,306.312,2
3.5,21,501.608,233.813,3
3.5,22,483.799,772.977,1
3.5,23,501.614,710.928,1
3.5,24,488.176,298.647,2
3.5,25,673.438,354.682,3
3.5,26,285.375,687.518,1
3.5,27,528.263,722.52,1
3.5,28,266.228,463.092,2
3.5,29,277.654,643.001,1
4,0,623.641,706.828,1
4,1,360.937,731.092,1
4,2,239.469,385.3,2
4,3,203.743,529.725,2
4,4,386.818,247.953,2
4,5,524.15,626.163,1
4,6,229.136,512.433,2
4,7,500.075,416.487,3
4,8,455.852,375.166,2
4,9,726.384,369.942,3
4,10,690.602,584.969,3
4,11,462.197,745.698,1
4,12,421.889,496.69,2
4,13,610.116,343.925,3
4,14,282.666,477.042,2
4,15,294.873,702.321,1
4,16,277.273,549.668,2
4,17,615.741,418.413,3
4,18,629.462,633.523,1
4,19,383.166,668.976,1
4,20,458.383,305.053,2
4,21,500.736,235.033,3
4,22,482.302,773.063,1
4,23,502.654,709.847,1
4,24,489.022,299.886,2
4,25,674.9,355.019,3
4,26,284.546,688.769,1
4,27,526.763,722.548,1
4,28,267.267,462.01,2
4,29,276.571,644.039,1
4.5,0,624.129,708.247,1
4.5,1,361.968,732.181,1
4.5,2,238.061,385.817,2
4.5,3,202.321,529.248,2
4.5,4,385.329,248.135,2
4.5,5,522.837,626.888,1
4.5,6,228.94,510.946,2
4.5,7,498.577,416.568,3
4.5,8,457.274,374.687,2
4.5,9,727.643,370.757,3
4.5,10,691.765,584.022,3
4.5,11,463.678,745.461,1
4.5,12,420.502,496.12,2
4.5,13,611.462,343.262,3
4.5,14,282.474,478.529,2
4.5,15,295.294,703.761,1
4.5,16,278.372,550.689,2
4.5,17,614.315,418.877,3
4.5,18,628.262,632.623,1
4.5,19,382.996,670.467,1
4.5,20,457.568,303.794,2
4.5,21,499.864,236.254,3
4.5,22,480.804,773.149,1
4.5,23,503.694,708.767,1
4.5,24,489.868,301.125,2
4.5,25,676.362,355.355,3
4.5,26,283.718,690.019,1
4.5,27,525.263,722.576,1
4.5,28,268.306,460.928,2
4.5,29,275.488,645.077,1
5,0,624.617,709.665,1
5,1,362.999,733.271,1
5,2,236.653,386.334,2
5,3,201.474,528.901,2
5,4,383.84,248.318,2
5,5,521.524,627.613,1
5,6,228.745,509.458,2
5,7,497.08,416.648,3
5,8,458.696,374.209,2
5,9,728.902,371.572,3
5,10,692.928,583.074,3
5,11,465.159,745.223,1
5,12,419.115,495.55,2
5,13,612.807,342.599,3
5,14,282.281,480.017,2
5,15,295.714,705.201,1
5,16,279.471,551.71,2
5,17,612.889,419.342,3
5,18,627.062,631.723,1
5,19,382.827,671.957,1
5,20,456.753,302.535,2
5,21,498.991,237.474,3
5,22,479.307,773.235,1
5,23,504.734,707.686,1
5,24,490.713,302.364,2
5,25,677.823,355.692,3
5,26,282.89,691.27,1
5,27,523.763,722.604,1
5,28,269.345,459.846,2
5,29,274.405,646.115,1
5.5,0,625.105,711.083,1
5.5,1,364.029,734.36,1
5.5,2,235.245,386.852,2
5.5,3,202.969,528.783,2
5.5,4,382.351,248.5,2
5.5,5,520.211,628.338,1
5.5,6,228.55,507.971,2
5.5,7,495.582,416.729,3
5.5,8,460.117,373.731,2
5.5,9,730.162,372.387,3
5.5,10,694.091,582.127,3
5.5,11,466.64,744.986,1
5.5,12,417.727,494.979,2
5.5,13,614.152,341.935,3
5.5,14,282.088,481.504,2
5.5,15,296.135,706.641,1
5.5,16,280.569,552.731,2
5.5,17,611.463,419.807,3
5.5,18,625.862,630.823,1
5.5,19,382.658,673.448,1
5.5,20,455.937,301.276,2
5.5,21,498.119,238.694,3
5.5,22,477.809,773.321,1
5.5,23,505.775,706.605,1
5.5,24,491.559,303.603,2
5.5,25,679.285,356.028,3
5.5,26,282.061,692.52,1
5.5,27,522.264,722.632,1
5.5,28,270.384,458.764,2
5.5,29,273.322,647.152,1
6,0,625.594,712.502,1
6,1,365.06,735.45,1
6,2,233.837,387.369,2
6,3,204.464,528.665,2
6,4,380.862,248.683,2
6,5,518.898,629.063,1
6,6,228.354,506.484,2
6,7,494.084,416.809,3
6,8,461.539,373.252,2
6,9,731.421,373.202,3
6,10,695.253,581.18,3
6,11,468.121,744.749,1
6,12,416.34,494.409,2
6,13,615.498,341.272,3
6,14,281.896,482.992,2
6,15,296.555,708.081,1
6,16,281.668,553.753,2
6,17,610.037,420.272,3
6,18,624.662,629.923,1
6,19,382.489,674.938,1
6,20,455.122,300.017,2
6,21,497.247,239.915,3
6,22,476.311,773.407,1
6,23,506.815,705.525,1
6,24,492.405,304.842,2
6,25,680.747,356.365,3
6,26,281.233,693.771,1
6,27,520.764,722.66,1
6,28,271.423,457.683,2
6,29,272.239,648.19,1
6.5,0,626.082,713.92,1
6.5,1,366.091,736.54,1
6.5,2,232.429,387.886,2
6.5,3,205.96,528.547,2
6.5,4,379.373,248.865,2
6.5,5,517.585,629.788,1
6.5,6,228.159,504.997,2
6.5,7,492.586,416.89,3
6.5,8,462.961,372.774,2
6.5,9,732.68,374.017,3
6.5,10,696.416,580.232,3
6.5,11,469.602,744.511,1
6.5,12,414.953,493.838,2
6.5,13,616.843,340.609,3
6.5,14,281.703,484.479,2
6.5,15,296.975,709.521,1
6.5,16,282.767,554.774,2
6.5,17,608.61,420.737,3
6.5,18,623.462,629.023,1
6.5,19,382.32,676.428,1
6.5,20,454.307,298.758,2
6.5,21,496.375,241.135,3
6.5,22,474.814,773.493,1
6.5,23,507.855,704.444,1
6.5,24,493.25,306.08,2
6.5,25,682.209,356.701,3
6.5,26,280.404,695.021,1
6.5,27,519.264,722.688,1
6.5,28,272.463,456.601,2
6.5,29,271.156,649.228,1
7,0,626.57,715.338,1
7,1,367.122,737.629,1
7,2,231.021,388.403,2
7,3,207.455,528.429,2
7,4,377.884,249.047,2
7,5,516.272,630.513,1
7,6,227.963,503.509,2
7,7,491.088,416.971,3
7,8,464.383,372.296,2
7,9,733.94,374.832,3
7,10,697.579,579.285,3
7,11,471.084,744.274,1
7,12,413.566,493.268,2
7,13,618.188,339.946,3
7,14,281.511,485.967,2
7,15,297.396,710.961,1
7,16,283.865,555.795,2
7,17,607.184,421.201,3
7,18,622.262,628.123,1
7,19,382.151,677.919,1
7,20,453.491,297.499,2
7,21,495.503,242.355,3
7,22,473.316,773.58,1
7,23,508.896,703.364,1
7,24,494.096,307.319,2
7,25,683.671,357.038,3
7,26,279.576,696.272,1
7,27,517.765,722.716,1
7,28,273.502,455.519,2
7,29,270.073,650.266,1
7.5,0,627.058,716.757,1
7.5,1,368.153,738.719,1
7.5,2,229.613,388.921,2
7.5,3,208.95,528.311,2
7.5,4,376.396,249.23,2
7.5,5,514.959,631.239,1
7.5,6,227.768,502.022,2
7.5,7,489.59,417.051,3
7.5,8,465.804,371.817,2
7.5,9,735.199,375.646,3
7.5,10,698.742,578.337,3
7.5,11,472.565,744.036,1
7.5,12,412.178,492.698,2
7.5,13,619.534,339.282,3
7.5,14,281.318,487.455,2
7.5,15,297.816,712.401,1
7.5,16,284.964,556.816,2
7.5,17,605.758,421.666,3
7.5,18,621.062,627.223,1
7.5,19,381.982,679.409,1
7.5,20,452.676,296.24,2
7.5,21,494.63,243.576,3
7.5,22,471.819,773.666,1
7.5,23,509.936,702.283,1
7.5,24,494.942,308.558,2
7.5,25,685.132,357.375,3
7.5,26,278.748,697.522,1
7.5,27,516.265,722.744,1
7.5,28,274.541,454.437,2
7.5,29,268.99,651.304,1
8,0,627.546,718.175,1
8,1,369.184,739.808,1
8,2,228.205,389.438,2
8,3,210.446,528.193,2
8,4,374.907,249.412,2
8,5,513.645,631.964,1
8,6,227.573,500.535,2
8,7,488.093,417.132,3
8,8,467.226,371.339,2
8,9,736.458,376.461,3
8,10,699.905,577.39,3
8,11,474.046,743.799,1
8,12,410.791,492.127,2
8,13,620.879,338.619,3
8,14,281.125,488.942,2
8,15,298.237,713.84,1
8,16,286.063,557.838,2
8,17,604.332,422.131,3
8,18,619.862,626.323,1
8,19,381.813,680.9,1
8,20,451.861,294.98,2
8,21,493.758,244.796,3
8,22,470.321,773.752,1
8,23,510.976,701.202,1
8,24,495.787,309.797,2
8,25,686.594,357.711,3
8,26,277.919,698.773,1
8,27,514.765,722.772,1
8,28,275.58,453.355,2
8,29,267.908,652.342,1
8.5,0,628.035,719.593,1
8.5,1,370.215,740.898,1
8.5,2,226.797,389.955,2
8.5,3,211.941,528.075,2
8.5,4,373.418,249.595,2
8.5,5,512.332,632.689,1
8.5,6,227.377,499.048,2
8.5,7,486.595,417.212,3
8.5,8,468.648,370.861,2
8.5,9,737.718,377.276,3
8.5,10,701.068,576.443,3
8.5,11,475.527,743.561,1
8.5,12,409.404,491.557,2
8.5,13,622.225,337.956,3
8.5,14,280.933,490.43,2
8.5,15,298.657,715.28,1
8.5,16,287.161,558.859,2
8.5,17,602.906,422.596,3
8.5,18,618.662,625.423,1
8.5,19,381.644,682.39,1
8.5,20,451.045,293.721,2
8.5,21,492.886,246.016,3
8.5,22,468.824,773.838,1
8.5,23,512.017,700.122,1
8.5,24,496.633,311.036,2
8.5,25,688.056,358.048,3
8.5,26,277.091,700.023,1
8.5,27,513.265,722.8,1
8.5,28,276.619,452.274,2
8.5,29,266.825,653.38,1
9,0,628.523,721.012,1
9,1,371.246,741.988,1
9,2,225.389,390.472,2
9,3,213.436,527.957,2
9,4,371.929,249.777,2
9,5,511.019,633.414,1
9,6,227.182,497.561,2
9,7,485.097,417.293,3
9,8,470.069,370.382,2
9,9,738.977,378.091,3
9,10,702.231,575.495,3
9,11,477.008,743.324,1
9,12,408.016,490.986,2
9,13,623.57,337.292,3
9,14,280.74,491.917,2
9,15,299.077,716.72,1
9,16,288.26,559.88,2
9,17,601.479,423.061,3
9,18,617.462,624.523,1
9,19,381.475,683.881,1
9,20,450.23,292.462,2
9,21,492.014,247.237,3
9,22,467.326,773.924,1
9,23,513.057,699.041,1
9,24,497.479,312.275,2
9,25,689.518,358.384,3
9,26,276.263,701.274,1
9,27,511.766,722.828,1
9,28,277.658,451.192,2
9,29,265.742,654.418,1
9.5,0,629.011,722.43,1
9.5,1,372.277,743.077,1
9.5,2,223.981,390.99,2
9.5,3,214.932,527.839,2
9.5,4,370.44,249.959,2
9.5,5,509.706,634.139,1
9.5,6,226.986,496.073,2
9.5,7,483.599,417.374,3
9.5,8,471.491,369.904,2
9.5,9,740.236,378.906,3
9.5,10,703.394,574.548,3
9.5,11,478.489,743.087,1
9.5,12,406.629,490.416,2
9.5,13,624.915,336.629,3
9.5,14,280.547,493.405,2
9.5,15,299.498,718.16,1
9.5,16,289.358,560.902,2
9.5,17,600.053,423.525,3
9.5,18,616.262,623.623,1
9.5,19,381.305,685.371,1
9.5,20,449.415,291.203,2
9.5,21,491.141,248.457,3
9.5,22,465.829,774.01,1
9.5,23,514.097,697.96,1
9.5,24,498.324,313.514,2
9.5,25,690.979,358.721,3
9.5,26,275.434,702.524,1
9.5,27,510.266,722.856,1
9.5,28,278.697,450.11,2
9.5,29,264.659,655.456,1
10,0,629.499,723.848,1
10,1,373.307,744.167,1
10,2,222.573,391.507,2
10,3,216.427,527.721,2
10,4,368.951,250.142,2
10,5,508.393,634.864,1
10,6,226.791,494.586,2
10,7,482.101,417.454,3
10,8,472.913,369.426,2
10,9,741.496,379.721,3
10,10,704.557,573.601,3
10,11,479.97,742.849,1
10,12,405.242,489.845,2
10,13,626.261,335.966,3
10,14,280.355,494.893,2
10,15,299.918,719.6,1
10,16,290.457,561.923,2
10,17,598.627,423.99,3
10,18,615.062,622.723,1
10,19,381.136,686.862,1
10,20,448.599,289.944,2
10,21,490.269,249.677,3
10,22,464.331,774.096,1
10,23,515.137,696.88,1
10,24,499.17,314.753,2
10,25,692.441,359.057,3
10,26,274.606,703.775,1
10,27,508.766,722.884,1
10,28,279.736,449.028,2
10,29,263.576,656.494,1
10.5,0,629.987,725.267,1
10.5,1,374.338,745.257,1
10.5,2,221.165,392.024,2
10.5,3,217.922,527.603,2
10.5,4,367.462,250.324,2
10.5,5,507.08,635.589,1
10.5,6,226.595,493.099,2
10.5,7,480.603,417.535,3
10.5,8,474.334,368.947,2
10.5,9,742.755,380.536,3
10.5,10,705.72,572.653,3
10.5,11,481.451,742.612,1
10.5,12,403.854,489.275,2
10.5,13,627.606,335.303,3
10.5,14,280.162,496.38,2
10.5,15,300.339,721.04,1
10.5,16,291.556,562.944,2
10.5,17,597.201,424.455,3
10.5,18,613.862,621.823,1
10.5,19,380.967,688.352,1
10.5,20,447.784,288.685,2
10.5,21,489.397,250.898,3
10.5,22,462.834,774.182,1
10.5,23,516.178,695.799,1
10.5,24,500.016,315.992,2
10.5,25,693.903,359.394,3
10.5,26,273.777,705.025,1
10.5,27,507.266,722.912,1
10.5,28,280.775,447.946,2
10.5,29,262.493,657.532,1
11,0,630.476,726.685,1
11,1,375.369,746.346,1
11,2,219.757,392.541,2
11,3,219.418,527.485,2
11,4,365.974,250.506,2
11,5,505.767,636.314,1
11,6,226.4,491.612,2
11,7,479.106,417.615,3
11,8,475.756,368.469,2
11,9,744.014,381.351,3
11,10,706.883,571.706,3
11,11,482.932,742.374,1
11,12,402.467,488.705,2
11,13,628.952,334.639,3
11,14,279.97,497.868,2
11,15,300.759,722.48,1
11,16,292.654,563.965,2
11,17,595.775,424.92,3
11,18,612.662,620.923,1
11,19,380.798,689.842,1
11,20,446.969,287.426,2
11,21,488.525,252.118,3
11,22,461.336,774.268,1
11,23,517.218,694.718,1
11,24,500.861,317.231,2
11,25,695.365,359.73,3
11,26,272.949,706.276,1
11,27,505.767,722.94,1
11,28,281.814,446.865,2
11,29,261.41,658.569,1
11.5,0,630.964,728.103,1
11.5,1,376.4,747.436,1
11.5,2,218.349,393.059,2
11.5,3,220.913,527.367,2
11.5,4,364.485,250.689,2
11.5,5,504.454,637.039,1
11.5,6,226.205,490.125,2
11.5,7,477.608,417.696,3
11.5,8,477.178,367.991,2
11.5,9,745.274,382.166,3
11.5,10,708.046,570.758,3
11.5,11,484.413,742.137,1
11.5,12,401.08,488.134,2
11.5,13,630.297,333.976,3
11.5,14,279.777,499.355,2
11.5,15,301.179,723.92,1
11.5,16,293.753,564.987,2
11.5,17,594.349,425.385,3
11.5,18,611.462,620.023,1
11.5,19,380.629,691.333,1
11.5,20,446.153,286.167,2
11.5,21,487.653,253.338,3
11.5,22,459.839,774.354,1
11.5,23,518.258,693.638,1
