time_s,step,agent,buffer_size,critic_loss,actor_loss,alpha,target_q_mean,q1_mean,q2_mean,log_prob_mean,action_abs_mean,obs_mean,obs_std,obs_norm_mean,obs_norm_var
57.5,465,2,462,0.0311766,-1.63861,0.124984,1.44573,1.4315,1.44203,-1.32518,0.558479,5.75604,2.84953,5.44066,5.18153
1.5,470,0,466,0.0430427,-1.61619,0.125754,1.49011,1.49821,1.53492,-1.28579,0.551191,7.13622,3.7882,7.02786,7.70344
1.5,470,1,466,0.0311735,-1.39019,0.124827,1.21407,1.23467,1.24285,-1.29352,0.528189,5.99331,3.07382,5.69334,5.27423
1.5,470,2,466,0.0560118,-1.64959,0.124796,1.5342,1.44533,1.47698,-1.34851,0.514724,6.32995,3.11395,5.48009,5.21103
4,475,0,471,0.025762,-1.6865,0.125566,1.5564,1.60686,1.54087,-1.35526,0.506099,7.36155,3.68571,7.0385,7.73058
4,475,1,471,0.0224709,-1.40334,0.12464,1.21119,1.22911,1.21807,-1.32694,0.527944,6.19033,3.19564,5.71162,5.29199
4,475,2,471,0.0254346,-1.69016,0.124609,1.50853,1.53145,1.51584,-1.35033,0.536874,5.97108,2.82737,5.51363,5.25637
6.5,480,0,476,0.0385818,-1.70377,0.125377,1.59233,1.57153,1.60667,-1.33502,0.504775,7.35691,3.89716,7.05057,7.77171
6.5,480,1,476,0.0407487,-1.349,0.124453,1.21289,1.206,1.17942,-1.20248,0.600089,5.89437,3.35043,5.72628,5.34168
6.5,480,2,476,0.0394352,-1.65612,0.124422,1.46978,1.47146,1.48592,-1.35425,0.550975,6.10588,2.91674,5.54503,5.31107
9,485,0,481,0.0486778,-1.67928,0.125189,1.59387,1.55903,1.54594,-1.323,0.543984,7.31298,3.57672,7.06926,7.81105
9,485,1,481,0.0341111,-1.39701,0.124267,1.21592,1.21096,1.22932,-1.40886,0.490969,6.35847,3.50268,5.74443,5.38385
9,485,2,481,0.0406578,-1.72066,0.124236,1.54126,1.51095,1.52266,-1.38262,0.490001,6.11155,2.95039,5.56927,5.36481
11.5,490,0,486,0.0550543,-1.71861,0.125001,1.59574,1.59459,1.58118,-1.21822,0.518308,6.98528,3.89876,7.08099,7.84272
11.5,490,1,486,0.0362551,-1.4044,0.124081,1.24109,1.23573,1.2341,-1.3579,0.499177,6.01575,3.29027,5.76291,5.40304
11.5,490,2,486,0.055884,-1.67642,0.12405,1.53006,1.5066,1.5163,-1.33275,0.533823,5.99136,3.20151,5.59487,5.40839
14,495,0,491,0.059405,-1.67221,0.124815,1.57951,1.5702,1.56888,-1.30758,0.543447,6.93819,3.86801,7.09035,7.8989
14,495,1,491,0.051718,-1.39465,0.123894,1.25979,1.21664,1.2251,-1.211,0.552955,6.08541,3.49953,5.77955,5.4598
14,495,2,491,0.0609778,-1.70795,0.123865,1.59094,1.53309,1.53068,-1.29061,0.546168,6.02769,2.9706,5.6154,5.46255
16.5,500,0,496,0.0302118,-1.72102,0.12463,1.5921,1.57559,1.56206,-1.28852,0.51583,7.10727,3.72899,7.10086,7.90024
16.5,500,1,496,0.0241604,-1.46427,0.123708,1.27108,1.30196,1.30444,-1.32466,0.540105,6.10424,3.0773,5.799,5.48373
16.5,500,2,496,0.0263218,-1.78234,0.12368,1.62841,1.61765,1.61182,-1.26368,0.506171,6.41321,3.33527,5.64518,5.49593
19,505,0,501,0.0240516,-1.81691,0.124445,1.67777,1.70067,1.71206,-1.33521,0.517864,7.5225,3.56692,7.11324,7.89347
19,505,1,501,0.0223998,-1.47081,0.123523,1.29888,1.27145,1.27916,-1.3116,0.516253,6.38803,3.37594,5.81739,5.51468
19,505,2,501,0.017925,-1.80091,0.123495,1.59505,1.62,1.63554,-1.21963,0.556813,6.14229,2.73518,5.66772,5.52644
21.5,510,0,506,0.0227959,-1.76663,0.12426,1.63603,1.64758,1.62796,-1.32961,0.486717,7.45886,3.57789,7.1274,7.88711
21.5,510,1,506,0.0268359,-1.49929,0.123339,1.34525,1.35011,1.33627,-1.33135,0.548126,6.38273,3.10235,5.83924,5.52298
21.5,510,2,506,0.0359458,-1.79125,0.123312,1.64677,1.59297,1.60138,-1.29373,0.501117,6.21069,2.88376,5.69323,5.55233
24,515,0,511,0.027123,-1.80244,0.124073,1.68057,1.66468,1.67344,-1.39383,0.52864,7.2475,3.79888,7.13019,7.88539
24,515,1,511,0.0276892,-1.49808,0.123157,1.32806,1.31573,1.31034,-1.31645,0.514338,6.37349,3.19865,5.85905,5.53971
24,515,2,511,0.0322727,-1.81997,0.123128,1.64845,1.63812,1.65138,-1.18371,0.568284,6.23296,2.92757,5.72504,5.56883
26.5,520,0,516,0.0285598,-1.81331,0.123887,1.6865,1.71889,1.71119,-1.2738,0.529352,7.16887,3.77937,7.13314,7.90351
26.5,520,1,516,0.026004,-1.55631,0.122975,1.33836,1.35783,1.36612,-1.27111,0.502496,6.10731,3.1486,5.87588,5.55903
26.5,520,2,516,0.0245676,-1.83568,0.122946,1.64918,1.64368,1.64945,-1.39206,0.500206,5.9394,2.81065,5.74566,5.59813
29,525,0,521,0.0609261,-1.79273,0.123701,1.71924,1.66865,1.67307,-1.15728,0.540492,6.92342,3.91339,7.13413,7.9353
29,525,1,521,0.040232,-1.50722,0.122792,1.36153,1.32926,1.33133,-1.24883,0.511342,6.24385,3.1799,5.88765,5.58873
29,525,2,521,0.0536018,-1.83984,0.122763,1.64267,1.66583,1.64992,-1.33338,0.505646,6.20333,3.21297,5.76507,5.64112
31.5,530,0,526,0.0314925,-1.8727,0.123518,1.73342,1.76697,1.76834,-1.37806,0.496943,7.43014,3.9708,7.14147,7.9492
31.5,530,1,526,0.0172989,-1.54372,0.12261,1.34464,1.3512,1.35104,-1.39006,0.485025,6.10465,3.25738,5.90735,5.6155
31.5,530,2,526,0.0274864,-1.87432,0.122579,1.68579,1.67454,1.674,-1.29658,0.523648,6.08096,2.72543,5.78583,5.63409
34,535,0,531,0.0274352,-1.90201,0.123334,1.77741,1.76889,1.77877,-1.40658,0.502828,7.18407,3.57056,7.14345,7.92144
34,535,1,531,0.0201219,-1.4966,0.122428,1.30318,1.31484,1.31681,-1.27909,0.531403,6.23286,3.29042,5.92069,5.62862
34,535,2,531,0.031434,-1.89941,0.122395,1.74993,1.72135,1.7462,-1.29964,0.553107,6.22984,2.86485,5.8073,5.62641
36.5,540,0,536,0.0638369,-1.83794,0.123152,1.724,1.7228,1.73528,-1.23577,0.515183,6.98522,3.79107,7.1399,7.92637
36.5,540,1,536,0.0528568,-1.53462,0.122246,1.36687,1.32849,1.31989,-1.29418,0.517061,6.12479,3.26853,5.93284,5.64502
36.5,540,2,536,0.0722713,-1.84513,0.122212,1.69979,1.66154,1.68593,-1.29451,0.550251,5.93592,3.08452,5.82314,5.66594
39,545,0,541,0.022264,-1.81874,0.122969,1.71863,1.72379,1.70655,-1.22482,0.533786,7.15375,3.69443,7.13568,7.92513
39,545,1,541,0.0273315,-1.60309,0.122065,1.4016,1.43659,1.44144,-1.26504,0.52452,6.16237,3.09011,5.94707,5.66011
39,545,2,541,0.03101,-1.9548,0.122029,1.75901,1.76623,1.75454,-1.33009,0.549457,6.54669,3.02379,5.84909,5.67984
41.5,550,0,546,0.042133,-1.8534,0.122787,1.72972,1.7401,1.7443,-1.27712,0.573797,7.08917,3.76591,7.13569,7.92039
41.5,550,1,546,0.0410744,-1.54645,0.121884,1.41778,1.37816,1.36105,-1.24553,0.522723,5.88457,3.12002,5.95982,5.65507
41.5,550,2,546,0.0417179,-1.89663,0.121846,1.75205,1.72305,1.7319,-1.30067,0.540456,6.24156,3.14639,5.87001,5.70679
44,555,0,551,0.0256764,-1.86691,0.122605,1.76143,1.75063,1.74213,-1.32854,0.515812,7.16369,3.70155,7.13338,7.91098
44,555,1,551,0.0222866,-1.65329,0.121704,1.46319,1.46866,1.46843,-1.29298,0.536252,6.33363,3.11139,5.9692,5.65071
44,555,2,551,0.0291879,-1.96777,0.121665,1.79928,1.77392,1.76631,-1.28068,0.504728,6.23214,2.97978,5.88936,5.75424
46.5,560,0,556,0.0284308,-1.87979,0.122424,1.77399,1.77853,1.78055,-1.31064,0.504019,7.00415,3.54375,7.13413,7.90568
46.5,560,1,556,0.0290943,-1.62733,0.121524,1.46807,1.45779,1.4581,-1.2865,0.491877,6.19891,3.2266,5.98157,5.66555
46.5,560,2,556,0.0272563,-1.94946,0.121484,1.77986,1.80292,1.80475,-1.15055,0.541176,6.72347,3.31805,5.91262,5.78843
49,565,0,561,0.0294973,-1.92592,0.122242,1.85142,1.79884,1.81513,-1.15851,0.563434,7.14886,3.46535,7.13007,7.90244
49,565,1,561,0.0217909,-1.6141,0.121345,1.42631,1.41161,1.41381,-1.22557,0.544009,6.30006,3.16768,5.99355,5.67203
49,565,2,561,0.0352935,-1.98933,0.121305,1.81391,1.80955,1.79877,-1.21374,0.566785,6.67902,3.03804,5.93606,5.84711
51.5,570,0,566,0.0750389,-1.9194,0.122061,1.80046,1.81105,1.79054,-1.20035,0.527701,7.13168,3.79374,7.13217,7.92796
51.5,570,1,566,0.0574127,-1.60387,0.121166,1.44239,1.4331,1.42849,-1.29582,0.518008,5.84905,3.35831,6.00178,5.68907
