time_s,cellId,cioRaw,txpRaw,selfCio_display_dB,txpApplied_dBm,cellThp_kbps,alpha
35.5,3,0.8857,-0.95554,-4.5,28.1778,9595.65,0.135335
38,1,0.999149,0.984332,-5,35.9373,10992.2,0.135335
38,2,0.675856,-0.514965,-3.5,29.9401,8137.41,0.135335
38,3,-0.271875,0.367917,1.5,33.4717,9094.77,0.135335
40.5,1,0.853486,0.996528,-4.5,35.9861,11965.6,0.135335
40.5,2,0.0731236,0.30441,-0.5,33.2176,5904.46,0.135335
40.5,3,0.894217,-0.957295,-4.5,28.1708,8697.55,0.135335
43,1,0.999734,0.927719,-5,35.7109,9705.2,0.135335
43,2,-0.170479,-0.0374768,1,31.8501,7989.02,0.135335
43,3,0.740002,-0.983756,-3.5,28.065,11494,0.135335
45.5,1,0.487767,0.980337,-2.5,35.9213,10210.7,0.135335
45.5,2,0.34608,-0.0247334,-1.5,31.9011,5028.35,0.135335
45.5,3,0.944676,-0.991161,-4.5,28.0354,10572.4,0.135335
48,1,0.998062,0.956537,-5,35.8261,10918.1,0.135335
48,2,0.743757,-0.348781,-3.5,30.6049,6278.35,0.135335
48,3,0.86384,-0.184935,-4.5,31.2603,9969.65,0.135335
50.5,1,0.938302,0.965612,-4.5,35.8624,11060,0.135335
50.5,2,-0.504174,-0.471704,2.5,30.1132,6875.97,0.135335
50.5,3,0.796393,-0.363196,-4,30.5472,8994.21,0.135335
53,1,0.974054,0.983274,-5,35.9331,12678,0.135335
53,2,0.821413,-0.711503,-4,29.154,8562.35,0.135335
53,3,0.311377,-0.203515,-1.5,31.1859,8336.72,0.135335
55.5,1,0.989237,0.99105,-5,35.9642,11599.4,0.135335
55.5,2,-0.885351,-0.993125,4.5,28.0275,9066.58,0.135335
55.5,3,0.944588,-0.906335,-4.5,28.3747,8028.37,0.135335
58,1,-0.508518,0.99974,2.5,35.999,12814.6,0.135335
58,2,-0.715822,-0.751348,3.5,28.9946,9406.94,0.135335
58,3,-0.038031,-0.916284,-0,28.3349,8016.75,0.135335
2,1,0.904324,0.965657,-4.5,35.8626,14540,0.135335
2,2,0.524074,-0.792091,-2.5,28.8316,8358.14,0.135335
2,3,0.800026,-0.936609,-4,28.2536,9065.46,0.135335
4.5,1,0.997456,0.939155,-5,35.7566,12346,0.135335
4.5,2,-0.957599,-0.963018,5,28.1479,11069.7,0.135335
4.5,3,0.980858,0.256853,-5,33.0274,9133.02,0.135335
7,1,0.99876,0.998773,-5,35.9951,13192,0.135335
7,2,-0.977077,0.534502,5,34.138,9681.92,0.135335
7,3,0.996262,-0.685662,-5,29.2574,8374.7,0.135335
9.5,1,0.859982,0.999765,-4.5,35.9991,14602.3,0.135335
9.5,2,0.784399,-0.67113,-4,29.3155,8635.42,0.135335
9.5,3,0.9847,-0.987551,-5,28.0498,7666.64,0.135335
12,1,0.993863,0.992144,-5,35.9686,13358.6,0.135335
12,2,-0.835515,0.364156,4,33.4566,9799.76,0.135335
12,3,0.634191,-0.797648,-3,28.8094,7122.59,0.135335
14.5,1,0.996399,0.643042,-5,34.5722,14335.4,0.135335
14.5,2,-0.973967,-0.838786,5,28.6449,6873.74,0.135335
14.5,3,0.804321,-0.69625,-4,29.215,10843.5,0.135335
17,1,0.999894,0.989926,-5,35.9597,13072.4,0.135335
17,2,-0.546431,-0.993684,2.5,28.0253,7344,0.135335
17,3,0.976509,-0.969918,-5,28.1203,6051.81,0.135335
19.5,1,0.96906,0.999998,-5,36,11532,0.135335
19.5,2,-0.147031,-0.0232523,0.5,31.907,9117.54,0.135335
19.5,3,0.859027,-0.0474589,-4.5,31.8102,5448.85,0.135335
22,1,0.924499,0.891474,-4.5,35.5659,13474.1,0.135335
22,2,-0.957749,-0.64726,5,29.411,7661.57,0.135335
22,3,0.778228,0.296776,-4,33.1871,6441.02,0.135335
24.5,1,0.99969,0.628264,-5,34.5131,13539.2,0.135335
24.5,2,0.489624,-0.687742,-2.5,29.249,7006.34,0.135335
24.5,3,0.983509,-0.944028,-5,28.2239,7315.04,0.135335
27,1,0.998174,0.958186,-5,35.8327,12313.6,0.135335
27,2,-0.909957,0.765675,4.5,35.0627,6823.38,0.135335
27,3,0.978208,-0.796919,-5,28.8123,6144.85,0.135335
29.5,1,0.998302,0.691113,-5,34.7645,9263.49,0.135335
29.5,2,-0.843786,-0.619877,4,29.5205,7613.47,0.135335
29.5,3,0.91824,-0.998354,-4.5,28.0066,8256.29,0.135335
32,1,0.992086,0.998825,-5,35.9953,10617.9,0.135335
32,2,0.480263,-0.546627,-2.5,29.8135,8123.82,0.135335
32,3,0.770901,-0.245319,-4,31.0187,7721.46,0.135335
34.5,1,0.998605,-0.295014,-5,30.8199,10278.7,0.135335
34.5,2,0.24476,-0.628653,-1,29.4854,7347.97,0.135335
34.5,3,0.888554,-0.984228,-4.5,28.0631,7337.5,0.135335
37,1,0.996579,0.360786,-5,33.4431,8443.49,0.135335
37,2,-0.909018,0.2131,4.5,32.8524,9206.43,0.135335
37,3,0.885126,-0.755256,-4.5,28.979,8365.6,0.135335
39.5,1,0.999156,0.996092,-5,35.9844,10778.2,0.135335
39.5,2,0.30833,0.605771,-1.5,34.4231,5495.63,0.135335
39.5,3,0.13169,-0.41844,-0.5,30.3262,8132.14,0.135335
42,1,0.99748,0.624125,-5,34.4965,12541.1,0.135335
42,2,-0.708482,-0.470817,3.5,30.1167,8289.79,0.135335
42,3,0.396244,-0.447753,-2,30.209,8391.65,0.135335
44.5,1,0.987232,0.967582,-5,35.8703,13165.4,0.135491
44.5,2,-0.852383,-0.771983,4.5,28.9121,6702.05,0.135173
44.5,3,0.818096,0.981687,-4,35.9267,8056.43,0.135174
47,1,0.911827,-0.0599404,-4.5,31.7602,9865.26,0.135615
47,2,-0.742169,0.300221,3.5,33.2009,8582.72,0.134968
47,3,0.65471,0.955219,-3.5,35.8209,10040,0.134968
49.5,1,-0.561737,-0.363992,3,30.544,10330.5,0.135602
49.5,2,0.104678,-0.189042,-0.5,31.2438,7691.14,0.134761
49.5,3,0.781349,0.0558681,-4,32.2235,8994.58,0.134758
52,1,0.402797,-0.0809983,-2,31.676,7123.42,0.135489
52,2,0.799423,0.978159,-4,35.9126,8245.1,0.134554
52,3,-0.358117,0.0190898,2,32.0764,12927.2,0.134546
54.5,1,-0.873522,0.311423,4.5,33.2457,6909.95,0.135327
54.5,2,-0.460861,0.400737,2.5,33.6029,11350.1,0.134347
54.5,3,-0.197089,0.23708,1,32.9483,12133.5,0.134335
57,1,-0.942596,-0.751924,4.5,28.9923,8622.93,0.135142
57,2,-0.822336,-0.157972,4,31.3681,8182.78,0.13414
57,3,-0.621243,0.0498344,3,32.1993,11429.2,0.134123
1,1,-0.962802,0.238666,5,32.9547,4125.02,0.134945
1,2,-0.0346724,0.910043,-0,35.6402,9567.02,0.133933
1,3,-0.296925,-0.863515,1.5,28.5459,4240.85,0.133914
3.5,1,0.489644,-0.956215,-2.5,28.1751,9506.99,0.134742
3.5,2,-0.337976,-0.204733,1.5,31.1811,10955.3,0.133732
3.5,3,-0.179409,0.221392,1,32.8856,12630.4,0.133713
6,1,0.83699,0.781828,-4,35.1273,13640.2,0.13454
6,2,0.686442,-0.397431,-3.5,30.4103,10801.2,0.133532
6,3,0.258661,0.479949,-1.5,33.9198,10242.4,0.133512
