time_s,cellId,ueCount,edgeUeCount,cellDlThp_kbps,cellUlThp_kbps,avgCqi,txPower_dBm,prbUtilDl
32,3,6,8,4550.14,3171.31,2.77778,30,0.64
34.5,1,9,1,8635.81,1642.9,7.71429,34,0.64
34.5,2,10,3,4131.58,3216.38,2.9,35,0.64
34.5,3,11,7,5177.65,2159.86,4.16667,34,0.64
37,1,9,1,6312.51,2130.98,6.11111,35,0.6208
37,2,11,4,5017.78,4188.66,4,34,0.64
37,3,10,5,5690.69,2674.91,4.44444,34,0.64
39.5,1,13,6,8888.14,1890.03,6,35,0.64
39.5,2,9,6,1993.98,3501.65,1.83333,28,0.64
39.5,3,8,5,5727.68,2404.46,2.75,32,0.64
42,1,11,3,9351.78,3189.33,6.9,35,0.64
42,2,13,13,3818.18,4471.62,3,31,0.6144
42,3,6,5,5022.53,3369.12,4.5,28,0.6144
44.5,1,16,6,10007.7,3157.73,6.23077,35,0.64
44.5,2,9,9,2543.41,4158.64,2.77778,28,0.64
44.5,3,5,8,6026.34,2030.1,1.77778,28,0.64
47,1,10,0,6209.87,3655.39,5.4,35,0.64
47,2,11,4,4160.34,4422.38,2.83333,34,0.6272
47,3,9,3,8663.63,1376.4,8.14286,32,0.6272
49.5,1,15,3,7541.97,2788.5,6.45455,35,0.64
49.5,2,8,3,3522.66,4168.48,2,35,0.64
49.5,3,7,4,6894.1,2100.48,4.77778,35,0.64
52,1,5,6,3974.72,3148.7,3.71429,31,0.64
52,2,9,5,4529.55,3715.55,2.46154,35,0.64
52,3,16,4,9918.58,3008.66,6.83333,35,0.64
54.5,1,11,7,3787.97,3121.98,3,30,0.64
54.5,2,11,11,7051.31,4298.8,6.72727,30,0.64
54.5,3,8,2,8750.61,3382.91,5.66667,34,0.64
57,1,13,13,5538.02,3084.91,4.76923,29,0.64
57,2,9,10,4025.66,4157.12,2.5,28,0.64
57,3,8,4,8889.2,2539.98,7.14286,30,0.64
1,1,11,8,0,4125.02,7.4,32,0.64
1,2,10,8,0,9567.02,4.5,32,0.6272
1,3,9,0,0,4240.85,5.4,32,0.6272
3.5,1,12,2,5577.54,3929.46,5.66667,31,0.64
3.5,2,10,5,6166.05,4789.28,4.1,34,0.64
3.5,3,8,4,8805.38,3824.99,5.77778,33,0.64
6,1,16,6,7497.34,6142.86,4.5,35,0.6336
6,2,3,2,7382.22,3419.01,6.66667,28,0.64
6,3,11,2,5035.94,5206.5,4.83333,30,0.6272
8.5,1,11,11,7991.36,4659.81,7.36364,30,0.64
8.5,2,13,9,6002.34,5066.64,1.92857,34,0.64
8.5,3,6,4,6635.22,4983.31,6.16667,28,0.64
11,1,16,7,4095.1,5764.3,4.14286,28,0.64
11,2,5,5,9409.1,5486.02,8,29,0.64
11,3,9,8,6994.83,3713.89,3.33333,31,0.64
13.5,1,12,0,7706.53,4119.38,6.375,35,0.64
13.5,2,12,7,5011.5,4193.01,4.63636,33,0.64
13.5,3,6,3,6402.18,2617.58,5.8,30,0.64
16,1,12,12,7405.12,3465.5,5.46667,33,0.64
16,2,8,13,4694.26,4201.58,3,31,0.64
16,3,10,1,5745.47,3328.48,4,32,0.64
18.5,1,7,1,5655.49,3850.06,5,34,0.64
18.5,2,13,4,4769.57,4987.6,3.25,35,0.6272
18.5,3,10,9,8097.06,2242.19,6.6,28,0.64
21,1,13,2,5497.33,4250.4,2.54545,35,0.64
21,2,9,10,9023.02,3048.46,6.27273,30,0.64
21,3,8,9,4779.54,1942.1,2.45455,30,0.64
23.5,1,5,3,5655.73,2911.9,6,28,0.6272
23.5,2,9,1,6223.42,3219.41,5,34,0.64
23.5,3,16,4,5823.42,3272.43,5.4,33,0.6208
26,1,11,7,6803.17,3196.85,6.875,29,0.64
26,2,10,7,6221.65,3990.43,5.71429,30,0.64
26,3,9,6,5195.18,2053.31,3.42857,29,0.64
28.5,1,10,5,4904.88,1788.1,3.36364,35,0.64
28.5,2,12,4,5017.95,4244.38,4.83333,33,0.64
28.5,3,8,3,8035.25,1780.27,6.8,34,0.64
31,1,6,5,7287.09,1941.9,6.5,29,0.6144
31,2,10,10,4304.29,3682.94,3.8,28,0.6272
31,3,14,9,6205.71,2948.83,4.90909,31,0.6208
33.5,1,6,5,5573.34,1900.32,4.16667,31,0.64
33.5,2,10,3,3844.27,3058.21,4,30,0.64
33.5,3,14,5,7429.26,1656.13,7.44444,32,0.64
36,1,9,2,9271.01,2553.01,7.4,35,0.6272
36,2,8,1,4754.13,4017.33,3.33333,35,0.64
36,3,13,3,5193.7,1925.14,4.16667,31,0.64
38.5,1,9,3,6216.29,2578.11,4.66667,34,0.64
38.5,2,14,1,5355.2,5880.42,4,35,0.64
38.5,3,7,4,7719.15,2099.66,5.33333,29,0.64
41,1,8,7,6411.86,1029.78,5.375,31,0.64
41,2,10,5,5147.22,3093.28,4.2,32,0.64
41,3,12,7,6164.66,2085.66,5.8,32,0.64
43.5,1,6,3,5031.76,1333.81,4.25,30,0.64
43.5,2,7,7,7336.32,2479.17,7,31,0.64
43.5,3,17,4,6053.01,3597.26,4.77778,33,0.64
46,1,8,8,5943.25,3601.86,5.25,29,0.64
46,2,12,2,5019.1,5876.78,2.8,34,0.64
46,3,10,3,7863.81,2781.34,6.2,29,0.64
48.5,1,10,3,8928.78,3925.7,6.5,35,0.6272
48.5,2,12,12,5046.4,5121.57,4.91667,29,0.6272
48.5,3,8,2,4948.35,2174.14,4,30,0.6336
51,1,10,10,3914.74,4939.79,3.1,28,0.64
51,2,7,10,5458.59,3379.73,3.8,28,0.64
51,3,13,10,8924.06,2264.35,4.73333,33,0.64
53.5,1,9,8,4079.5,2436.62,3.75,28,0.64
53.5,2,4,4,8312.59,2158.48,7.75,28,0.64
53.5,3,17,5,7572.88,5266.1,3.91667,34,0.64
56,1,9,8,6435.26,3792.66,5.5,29,0.64
56,2,9,9,5264.93,4329.81,4.88889,30,0.64
56,3,12,6,7935.76,3456.86,4.84615,34,0.64
58.5,1,7,8,6108.45,4090.02,6.125,28,0.64
58.5,2,14,6,4650.86,4413.58,2.55556,33,0.64
58.5,3,9,6,8760.21,3514.9,6.7,31,0.64
2.5,1,13,14,3923.39,4078.82,3.21429,28,0.64
2.5,2,11,3,9185.23,5063.46,6.75,34,0.64
2.5,3,6,6,7566.54,4007.14,5.85714,28,0.64
5,1,11,13,5937.58,4149.87,4.84615,30,0.6272
5,2,5,3,6967.62,3499.68,6.2,30,0.64
5,3,14,5,7225.15,3574.21,6.28571,29,0.6144
7.5,1,19,3,4893.6,8264.77,3.84615,35,0.64
7.5,2,5,3,9305.74,3811.9,7.8,32,0.64
7.5,3,6,1,8381.63,3109.82,6.16667,33,0.64
10,1,13,3,5496.21,2790.42,4.38462,35,0.64
10,2,10,5,5420.48,4692.46,4.3,34,0.64
10,3,7,0,9156.59,2639.97,6.85714,34,0.64
12.5,1,10,10,6031.92,3903.63,5.4,29,0.64
12.5,2,10,9,7329.22,3474.08,5.72727,31,0.64
12.5,3,10,8,5909.33,3205.94,4,30,0.64
15,1,9,9,4896.69,4463.58,2.91667,33,0.64
15,2,8,2,5662.14,3787.06,5.75,31,0.64
15,3,13,6,7551.81,3709.79,6.16667,34,0.64
17.5,1,11,4,4069.09,3844.56,3.57143,33,0.64
17.5,2,11,5,6042.13,3572.3,5.75,33,0.64
17.5,3,8,0,7978.35,4556.21,7.5,33,0.64
20,1,10,12,6109.41,2772.38,5.25,28,0.64
20,2,9,10,5376.88,4268.77,4.18182,30,0.64
20,3,11,9,6413.52,2962.27,5.09091,30,0.64
22.5,1,7,6,6303.14,1798.26,5,31,0.64
