time_s,step,agent,buffer_size,critic_loss,actor_loss,alpha,target_q_mean,q1_mean,q2_mean,log_prob_mean,action_abs_mean,obs_mean,obs_std,obs_norm_mean,obs_norm_var
16,265,1,263,0.0308225,-0.823846,0.132732,0.66524,0.688471,0.65479,-1.35759,0.540195,5.9705,3.12837,2.84594,2.77655
16,265,2,263,0.0321746,-0.990484,0.132713,0.848099,0.830231,0.82831,-1.33073,0.557646,5.33361,2.58567,2.54294,2.43041
18.5,270,0,268,0.0425152,-1.25203,0.133531,1.09174,1.07672,1.10599,-1.38189,0.538549,8.02833,3.90766,4.02193,4.0892
18.5,270,1,268,0.0249581,-0.853364,0.132533,0.668417,0.672009,0.702684,-1.39527,0.486932,6.1983,3.27789,3.00657,2.87247
18.5,270,2,268,0.0385014,-1.06737,0.132514,0.891138,0.877192,0.896091,-1.35983,0.506558,5.62343,2.60418,2.68158,2.5099
21,275,0,273,0.0407932,-1.2234,0.13333,1.09187,1.06286,1.04178,-1.39328,0.490733,7.57539,4.04355,4.20982,4.28241
21,275,1,273,0.0353796,-0.846728,0.132333,0.687085,0.675887,0.679847,-1.36728,0.527652,6.07525,3.50184,3.15189,3.00525
21,275,2,273,0.026019,-1.06766,0.132315,0.872054,0.909654,0.892492,-1.36904,0.533457,5.24817,2.47602,2.81685,2.5996
23.5,280,0,278,0.0430372,-1.29072,0.133128,1.09918,1.1256,1.14214,-1.36047,0.525349,7.7981,4.02494,4.38966,4.43964
23.5,280,1,278,0.0228329,-0.900006,0.132135,0.746588,0.736296,0.723901,-1.364,0.549403,5.95222,3.09961,3.2945,3.08417
23.5,280,2,278,0.0306867,-1.05851,0.132116,0.902361,0.887457,0.892056,-1.38442,0.525431,5.4884,2.40491,2.94732,2.68223
26,285,0,283,0.0453146,-1.23725,0.132928,1.12661,1.0821,1.09312,-1.30748,0.544632,7.6985,4.18192,4.55872,4.61222
26,285,1,283,0.0357206,-0.86801,0.131936,0.705391,0.70541,0.717779,-1.33057,0.554214,5.83933,3.42771,3.42562,3.19612
26,285,2,283,0.0368207,-1.04808,0.131917,0.901148,0.864308,0.871335,-1.35482,0.512328,5.27387,2.62621,3.07242,2.76991
28.5,290,0,288,0.0499197,-1.23274,0.132728,1.0889,1.06781,1.07276,-1.34734,0.523156,7.50476,3.99622,4.71314,4.78264
28.5,290,1,288,0.0310817,-0.916588,0.131738,0.750677,0.744827,0.745459,-1.3533,0.546174,5.75762,3.35942,3.55142,3.30726
28.5,290,2,288,0.0301574,-1.12547,0.131719,0.915652,0.944037,0.934571,-1.41303,0.494593,5.6299,2.89578,3.19286,2.86402
31,295,0,293,0.0290437,-1.31412,0.132528,1.15678,1.17282,1.1609,-1.33923,0.540996,7.93127,3.96618,4.86483,4.94851
31,295,1,293,0.0202414,-0.914356,0.13154,0.744277,0.755361,0.75225,-1.37327,0.536799,6.07606,3.22454,3.67067,3.39654
31,295,2,293,0.0202438,-1.09881,0.13152,0.938323,0.931568,0.932664,-1.37063,0.518708,5.56289,2.34662,3.30775,2.95509
33.5,300,0,298,0.0333198,-1.31124,0.132328,1.18195,1.14828,1.16289,-1.35938,0.512476,7.87396,4.29937,5.00925,5.1015
33.5,300,1,298,0.0214465,-0.910163,0.131343,0.731075,0.739979,0.751356,-1.3224,0.544159,5.74623,3.18913,3.78617,3.47258
