time_s,step,cellId,cio_l2_change,max_cio_change,txp_raw_curr,txp_raw_prev,txp_raw_change,txp_dBm_curr,txp_dBm_prev,ue_count_prev,ue_count_curr,ue_count_change,reward_prev,reward_curr,reward_change,consecutive_stagnant_steps,cio_stagnant,txp_stagnant,is_stagnant
14,1753,1,0.0350091,0.0350091,0.776502,0.755309,0.0211935,35.106,35.0212,9,11,2,1.10711,1.03969,0.0674259,0,0,0,0
14,1753,2,0.0583262,0.0583262,0.431079,0.405204,0.0258757,33.7243,33.6208,13,10,-3,0.694785,0.778775,0.0839896,0,0,0,0
14,1753,3,0.0177165,0.0177165,0.727042,0.72592,0.00112271,34.9082,34.9037,8,9,1,0.809732,0.720634,0.0890973,0,1,1,0
15,1754,1,0.0265825,0.0265825,0.752145,0.776502,0.0243571,35.0086,35.106,11,11,0,1.03969,1.05003,0.0103392,0,0,0,0
15,1754,2,0.0419308,0.0419308,0.418101,0.431079,0.0129784,33.6724,33.7243,10,10,0,0.778775,0.781886,0.0031112,0,0,1,0
15,1754,3,0.0104262,0.0104262,0.732407,0.727042,0.00536448,34.9296,34.9082,9,9,0,0.720634,0.728872,0.0082376,0,1,1,1
16,1755,1,0.0332912,0.0332912,0.755354,0.752145,0.00320834,35.0214,35.0086,11,7,-4,1.05003,1.22535,0.175326,0,0,1,0
16,1755,2,0.141826,0.141826,0.370131,0.418101,0.04797,33.4805,33.6724,10,15,5,0.781886,0.670614,0.111272,0,0,0,0
16,1755,3,0.0269937,0.0269937,0.745004,0.732407,0.0125973,34.98,34.9296,9,8,-1,0.728872,0.73768,0.00880773,0,0,1,0
17,1756,1,0.0332803,0.0332803,0.775518,0.755354,0.0201645,35.1021,35.0214,7,9,2,1.22535,1.12203,0.103319,0,0,0,0
17,1756,2,0.00559038,0.00559038,0.380774,0.370131,0.0106432,33.5231,33.4805,15,13,-2,0.670614,0.715954,0.0453403,0,1,1,0
17,1756,3,0.00425166,0.00425166,0.72,0.745004,0.0250041,34.88,34.98,8,8,0,0.73768,0.771373,0.0336928,0,1,0,0
18,1757,1,0.0285166,0.0285166,0.744737,0.775518,0.0307814,34.9789,35.1021,9,8,-1,1.12203,1.16852,0.0464893,0,0,0,0
18,1757,2,0.0271129,0.0271129,0.390821,0.380774,0.0100471,33.5633,33.5231,13,13,0,0.715954,0.725733,0.0097792,0,0,1,0
18,1757,3,0.0167968,0.0167968,0.697391,0.72,0.0226088,34.7896,34.88,8,9,1,0.771373,0.715636,0.0557365,0,1,0,0
19,1758,1,0.00646156,0.00646156,0.759879,0.744737,0.0151426,35.0395,34.9789,8,8,0,1.16852,1.20086,0.0323384,0,1,1,0
19,1758,2,0.0135308,0.0135308,0.371383,0.390821,0.0194384,33.4855,33.5633,13,14,1,0.725733,0.736677,0.0109443,0,1,1,0
19,1758,3,0.0082103,0.0082103,0.694884,0.697391,0.00250745,34.7795,34.7896,9,8,-1,0.715636,0.782759,0.0671229,0,1,1,0
20,1759,1,0.0326632,0.0326632,0.748439,0.759879,0.0114402,34.9938,35.0395,8,12,4,1.20086,1.02027,0.180594,0,0,1,0
20,1759,2,0.180557,0.180557,0.561926,0.371383,0.190543,34.2477,33.4855,14,8,-6,0.736677,0.921045,0.184367,0,0,0,0
20,1759,3,0.0224323,0.0224323,0.677592,0.694884,0.017292,34.7104,34.7795,8,10,2,0.782759,0.714094,0.0686651,0,0,1,0
21,1760,1,0.00642163,0.00642163,0.776582,0.748439,0.0281428,35.1063,34.9938,12,10,-2,1.02027,1.09509,0.0748171,0,1,0,0
21,1760,2,0.143217,0.143217,0.514415,0.561926,0.047511,34.0577,34.2477,8,10,2,0.921045,0.937599,0.0165549,0,0,0,0
21,1760,3,0.027868,0.027868,0.724508,0.677592,0.0469166,34.898,34.7104,10,10,0,0.714094,0.704591,0.0095032,0,0,0,0
22,1761,1,0.0381753,0.0381753,0.740295,0.776582,0.0362872,34.9612,35.1063,10,9,-1,1.09509,1.10973,0.0146493,0,0,0,0
22,1761,2,0.120431,0.120431,0.336762,0.514415,0.177653,33.347,34.0577,10,16,6,0.937599,0.755049,0.18255,0,0,0,0
22,1761,3,0.121103,0.121103,0.816997,0.724508,0.0924886,35.268,34.898,10,5,-5,0.704591,0.78391,0.0793197,0,0,0,0
23,1762,1,0.00688404,0.00688404,0.744247,0.740295,0.00395232,34.977,34.9612,9,11,2,1.10973,1.07375,0.0359867,0,1,1,0
23,1762,2,0.217348,0.217348,0.598308,0.336762,0.261546,34.3932,33.347,16,8,-8,0.755049,0.906344,0.151295,0,0,0,0
23,1762,3,0.165982,0.165982,0.724412,0.816997,0.0925853,34.8976,35.268,5,11,6,0.78391,0.735821,0.0480899,0,0,0,0
24,1763,1,0.0134013,0.0134013,0.766373,0.744247,0.0221257,35.0655,34.977,11,9,-2,1.07375,1.14088,0.0671331,0,1,0,0
24,1763,2,0.108042,0.108042,0.429241,0.598308,0.169067,33.717,34.3932,8,12,4,0.906344,0.853144,0.0531997,0,0,0,0
24,1763,3,0.0707428,0.0707428,0.690474,0.724412,0.0339381,34.7619,34.8976,11,9,-2,0.735821,0.765386,0.0295651,0,0,0,0
25,1764,1,0.0055123,0.0055123,0.747338,0.766373,0.0190343,34.9894,35.0655,9,12,3,1.14088,1.06845,0.0724352,0,1,1,0
