time_s,step,agent,buffer_size,critic_loss,actor_loss,alpha,target_q_mean,q1_mean,q2_mean,log_prob_mean,action_abs_mean,obs_mean,obs_std,obs_norm_mean,obs_norm_var
0.7,1800,0,1769,0.298883,-6.58748,0.0842866,6.44322,6.40204,6.47387,-0.193964,0.650084,7.40136,3.4765,7.36139,6.62244
0.7,1800,1,1769,0.146909,-6.71548,0.0839153,6.68163,6.6972,6.62503,-0.773182,0.578799,6.88085,3.49209,6.81257,6.16381
0.7,1800,2,1769,0.241208,-6.36197,0.0840575,6.32011,6.26819,6.35588,-0.30737,0.648483,7.36932,3.64602,7.42765,6.33925
1.2,1805,0,1774,0.264896,-6.52169,0.0841617,6.38997,6.53995,6.51458,-0.15461,0.664172,7.42688,3.73059,7.36157,6.61609
1.2,1805,1,1774,0.236291,-6.65912,0.0837896,6.57001,6.51061,6.575,-0.545922,0.599632,6.81932,3.55217,6.81969,6.18087
1.2,1805,2,1774,0.187416,-6.3112,0.0839333,6.11288,6.22235,6.16793,-0.323984,0.643414,6.9691,3.43027,7.41756,6.32927
1.7,1810,0,1779,0.260779,-6.59541,0.0840376,6.48558,6.45437,6.45766,-0.0204701,0.666651,7.24429,3.59955,7.35489,6.61455
1.7,1810,1,1779,0.222558,-6.71605,0.0836654,6.61495,6.701,6.63448,-0.605941,0.628693,7.12329,3.55988,6.82094,6.19973
1.7,1810,2,1779,0.18584,-6.41712,0.0838107,6.274,6.32845,6.34034,0.0517645,0.706162,7.47829,3.61338,7.42013,6.36109
0.6,1815,0,1783,0.464755,-6.44754,0.0839134,6.56269,6.28926,6.28686,-0.422717,0.633579,7.32517,3.47397,7.35676,6.5808
0.6,1815,1,1783,0.246653,-6.59668,0.0835413,6.58842,6.75803,6.42741,-0.870513,0.575954,6.87273,3.36217,6.8154,6.17767
0.6,1815,2,1783,0.216058,-6.4241,0.0836893,6.22481,6.30724,6.43023,-0.167578,0.652925,7.24122,3.56301,7.42575,6.37443
1.1,1820,0,1788,0.449863,-6.57566,0.0837872,6.46074,6.53392,6.57542,-0.711875,0.620724,7.1839,3.66067,7.35244,6.59935
1.1,1820,1,1788,0.302964,-6.82585,0.0834164,6.68273,6.69596,6.90405,-0.673517,0.551465,6.59932,3.45643,6.81582,6.16587
1.1,1820,2,1788,0.201373,-6.42618,0.0835639,6.32477,6.28844,6.28758,-0.157153,0.662549,7.5255,3.79793,7.42733,6.38165
1.6,1825,0,1793,0.305318,-6.69013,0.0836629,6.72557,6.58917,6.52464,-0.143459,0.643586,7.11065,3.82179,7.3481,6.60185
1.6,1825,1,1793,0.221666,-6.67159,0.0832919,6.62977,6.64914,6.59364,-1.03506,0.560251,6.85497,3.64384,6.81171,6.17603
1.6,1825,2,1793,0.23601,-6.2939,0.0834384,6.23468,6.21969,6.22258,0.0612673,0.690743,7.31415,3.7661,7.43378,6.43414
2.1,1830,0,1798,0.354865,-6.6252,0.0835435,6.5664,6.50678,6.55973,0.0848465,0.68256,7.25773,3.91709,7.34257,6.62467
2.1,1830,1,1798,0.319382,-6.71634,0.0831665,6.66754,6.63601,6.60144,-0.989216,0.557198,6.94939,3.70657,6.8107,6.18184
2.1,1830,2,1798,0.374914,-6.52464,0.0833153,6.4454,6.42194,6.40802,-0.375765,0.631748,7.15097,3.73837,7.43047,6.46136
2.6,1835,0,1803,0.289025,-6.72439,0.0834282,6.62092,6.56462,6.54087,-0.246935,0.642472,7.45596,3.78392,7.3496,6.65788
2.6,1835,1,1803,0.226218,-6.80891,0.0830412,6.66677,6.71909,6.71378,-1.00525,0.527179,6.55115,3.32335,6.80816,6.19704
2.6,1835,2,1803,0.200242,-6.39574,0.0831906,6.31363,6.33538,6.35663,-0.280832,0.642363,7.28118,3.70644,7.42115,6.47165
3.1,1840,0,1808,0.197643,-6.67905,0.0833071,6.56205,6.58924,6.60909,-0.287318,0.627756,7.3948,3.61945,7.34692,6.66438
3.1,1840,1,1808,0.213105,-6.68538,0.0829167,6.78434,6.64793,6.6039,-0.793665,0.559063,6.962,3.50088,6.80859,6.21805
3.1,1840,2,1808,0.208933,-6.55234,0.0830682,6.51107,6.47705,6.48778,-0.252617,0.627611,7.25118,3.8105,7.42172,6.4649
3.6,1845,0,1813,0.482344,-6.50968,0.083184,6.63613,6.43126,6.39335,-0.467602,0.605933,6.96049,3.70609,7.34416,6.70754
3.6,1845,1,1813,0.278419,-6.78371,0.0827916,6.78366,6.69328,6.63852,-1.08509,0.545134,6.88792,3.54186,6.80565,6.25298
3.6,1845,2,1813,0.415775,-6.54649,0.0829449,6.43832,6.40784,6.40305,-0.253641,0.676999,7.22247,3.9229,7.41416,6.48587
4.1,1850,0,1818,0.512769,-6.75733,0.0830617,6.6479,6.63796,6.60711,-0.0113573,0.645149,7.23327,3.60227,7.34128,6.70891
4.1,1850,1,1818,0.329108,-6.91268,0.082665,6.74758,6.81763,6.90403,-0.912577,0.614733,6.87939,3.54419,6.80076,6.25716
4.1,1850,2,1818,0.156027,-6.49341,0.0828205,6.44718,6.49293,6.4965,-0.249939,0.637441,7.43686,3.60216,7.41206,6.48763
4.6,1855,0,1823,0.452375,-6.8057,0.0829426,6.64287,6.68474,6.7462,-0.128302,0.700166,7.28012,3.63097,7.33937,6.71394
4.6,1855,1,1823,0.245495,-6.61203,0.0825407,6.63855,6.60696,6.51018,-0.550848,0.62127,6.88731,3.59427,6.79827,6.27551
4.6,1855,2,1823,0.181838,-6.4828,0.0826967,6.40753,6.38685,6.40957,-0.0659237,0.644464,7.25062,3.71549,7.40566,6.50834
5.1,1860,0,1828,0.449084,-6.65541,0.082822,6.77766,6.59602,6.56458,-0.286181,0.650435,7.43329,3.97526,7.33457,6.71485
5.1,1860,1,1828,0.236923,-6.81412,0.0824192,6.76003,6.74122,6.73466,-0.598063,0.622945,6.95087,3.46377,6.80558,6.28505
5.1,1860,2,1828,0.20973,-6.5645,0.0825736,6.46333,6.49758,6.49214,-0.00881994,0.686033,7.0517,3.58025,7.40162,6.50795
5.6,1865,0,1833,0.43141,-7.0383,0.0826989,6.98136,6.91799,6.94713,-0.0624192,0.648189,7.36371,3.77218,7.33144,6.74461
5.6,1865,1,1833,0.277273,-7.01801,0.0822997,6.89262,6.92273,6.94142,-0.613372,0.603554,6.85874,3.63811,6.80188,6.30942
5.6,1865,2,1833,0.45711,-6.55394,0.0824522,6.61394,6.4411,6.43672,-0.203495,0.635991,7.35867,3.75617,7.40252,6.55562
6.1,1870,0,1838,0.437764,-6.74065,0.0825752,6.73072,6.69766,6.67205,-0.131614,0.652869,7.16987,3.7963,7.32177,6.751
6.1,1870,1,1838,0.171398,-6.66437,0.0821807,6.64926,6.59457,6.61802,-0.925213,0.601756,6.34973,3.63963,6.79546,6.35501
6.1,1870,2,1838,0.238005,-6.55427,0.0823313,6.3502,6.39683,6.45971,-0.107529,0.631954,7.47126,3.99572,7.39917,6.603
6.6,1875,0,1843,0.283634,-6.86445,0.082453,6.84697,6.77339,6.7702,-0.0804371,0.65254,7.11039,3.78929,7.31025,6.7772
6.6,1875,1,1843,0.260883,-6.98927,0.0820593,6.87674,6.87613,6.91723,-0.726566,0.592997,7.05003,3.651,6.7918,6.35495
6.6,1875,2,1843,0.241769,-6.76431,0.0822085,6.64507,6.75121,6.6934,0.0034462,0.6777,7.35293,3.84053,7.39941,6.63566
7.1,1880,0,1848,0.198022,-6.94067,0.0823312,6.82961,6.84792,6.8588,-0.069401,0.674731,7.42618,3.93435,7.30651,6.79007
7.1,1880,1,1848,0.192561,-7.0312,0.0819371,6.86417,7.01585,6.96135,-0.637675,0.605436,6.65515,3.51297,6.78474,6.35422
7.1,1880,2,1848,0.267473,-6.62492,0.0820867,6.6712,6.53587,6.56467,-0.195988,0.654618,7.28646,3.868,7.39865,6.6693
7.6,1885,0,1853,0.318722,-6.98101,0.0822132,6.8757,6.89112,6.85725,-0.237549,0.654745,7.17005,3.91599,7.30065,6.80747
7.6,1885,1,1853,0.340743,-6.73219,0.0818137,6.83239,6.70377,6.71067,-0.859184,0.607028,7.16455,3.82452,6.7912,6.39443
7.6,1885,2,1853,0.362851,-6.69086,0.0819643,6.63172,6.66252,6.64747,0.21496,0.709471,6.91253,3.65531,7.38818,6.69232
