time_s,cellId,ueCount,edgeUeCount,cellDlThp_kbps,cellUlThp_kbps,avgCqi,txPower_dBm,prbUtilDl
1.2,2,11,0,9185.12,4792.88,0,34,0.64
1.2,3,9,0,14539.8,3732.48,0,35,0.64
1.7,1,10,0,8333.12,8337.28,0,35,0.64
1.7,2,11,0,11446.3,5619.04,0,35,0.64
1.7,3,9,0,13207.9,3888.48,0,34,0.64
0.6,1,10,0,8231.36,7363.92,0,35,0.64
0.6,2,11,0,12121.1,5633.6,0,35,0.64
0.6,3,9,0,13079.2,3780.24,0,34,0.64
1.1,1,10,0,7853.52,7566.56,0,35,0.64
1.1,2,11,0,12068.6,5530.08,0,35,0.64
1.1,3,9,0,14540.3,3546.48,0,35,0.64
1.6,1,10,0,9018.8,8464.4,0,35,0.64
1.6,2,11,0,9436.16,4361.2,0,35,0.64
1.6,3,9,0,13186.9,4614.8,0,34,0.64
2.1,1,10,0,8930.48,8342.24,0,35,0.64
2.1,2,11,0,10476.1,5744.48,0,34,0.64
2.1,3,9,0,14637.9,3714.08,0,35,0.64
2.6,1,10,0,10682.1,7296.32,0,35,0.64
2.6,2,11,0,9843.84,5706.48,0,30,0.608
2.6,3,9,0,14571.6,3661.76,0,34,0.64
3.1,1,10,0,7885.04,9085.52,0,34,0.64
3.1,2,11,0,11713.3,5340.24,0,34,0.64
3.1,3,9,0,15047.5,3662.88,0,35,0.64
3.6,1,10,0,8975.92,8348.24,0,35,0.64
3.6,2,11,0,10666.9,5790.08,0,34,0.64
3.6,3,9,0,14225,4070.48,0,35,0.64
4.1,1,10,0,9189.52,8084.8,0,35,0.64
4.1,2,11,0,10429.2,5481.92,0,32,0.64
4.1,3,9,0,14331.8,4051.28,0,34,0.64
4.6,1,10,0,9744.96,7639.92,0,35,0.64
4.6,2,11,0,9992.88,5698.96,0,33,0.64
4.6,3,9,0,14376.8,3712.24,0,34,0.64
5.1,1,10,0,10469.4,7604.24,0,35,0.64
5.1,2,11,0,10120.2,5815.12,0,31,0.64
5.1,3,9,0,14534.6,4255.2,0,34,0.64
5.6,1,10,0,9674,7771.92,0,34,0.64
