time_s,step,cellId,cio_l2_change,max_cio_change,txp_raw_curr,txp_raw_prev,txp_raw_change,txp_dBm_curr,txp_dBm_prev,ue_count_prev,ue_count_curr,ue_count_change,reward_prev,reward_curr,reward_change,consecutive_stagnant_steps,cio_stagnant,txp_stagnant,is_stagnant
1.8,1014,2,0.000743786,0.000743786,0.691329,0.692265,0.000935972,34.7653,34.7691,8,8,0,0.654165,0.659661,0.005496,2,1,1,1
1.8,1014,3,0.000724904,0.000724904,0.570442,0.568505,0.00193655,34.2818,34.274,7,7,0,0.687027,0.681523,0.005504,2,1,1,1
1.9,1015,1,0.00114748,0.00114748,0.769997,0.770657,0.00066036,35.08,35.0826,15,15,0,0.570688,0.573984,0.003296,0,1,1,1
1.9,1015,2,8.04663e-07,8.04663e-07,0.691327,0.691329,1.49012e-06,34.7653,34.7653,8,8,0,0.659661,0.659669,8e-06,0,1,1,1
1.9,1015,3,0.000530988,0.000530988,0.569024,0.570442,0.00141799,34.2761,34.2818,7,7,0,0.681523,0.685555,0.004032,0,1,1,1
2,1016,1,0.00321752,0.00321752,0.767591,0.769997,0.00240582,35.0704,35.08,15,15,0,0.573984,0.586328,0.012344,1,1,1,0
2,1016,2,0.000285577,0.000285577,0.691877,0.691327,0.000550091,34.7675,34.7653,8,8,0,0.659669,0.656861,0.002808,1,1,1,1
2,1016,3,0.000536241,0.000536241,0.570456,0.569024,0.00143206,34.2818,34.2761,7,7,0,0.685555,0.681483,0.004072,1,1,1,1
2.1,1017,1,0.00115474,0.00115474,0.766722,0.767591,0.000869155,35.0669,35.0704,15,15,0,0.586328,0.59076,0.004432,0,1,1,1
2.1,1017,2,0.000141058,0.000141058,0.692094,0.691877,0.00021708,34.7684,34.7675,8,8,0,0.656861,0.655677,0.001184,0,1,1,1
2.1,1017,3,0.000108585,0.000108585,0.581884,0.570456,0.0114281,34.3275,34.2818,7,7,0,0.681483,0.657403,0.02408,0,1,1,0
2.2,1018,1,0.00336741,0.00336741,0.764171,0.766722,0.00255126,35.0567,35.0669,15,15,0,0.59076,0.603688,0.012928,0,1,1,0
2.2,1018,2,0.000603197,0.000603197,0.690987,0.692094,0.00110769,34.7639,34.7684,8,8,0,0.655677,0.661405,0.005728,0,1,1,1
2.2,1018,3,0.000251003,0.000251003,0.57885,0.581884,0.00303406,34.3154,34.3275,7,7,0,0.657403,0.665203,0.0078,0,1,1,1
2.3,1019,1,0.00202944,0.00202944,0.765711,0.764171,0.0015406,35.0628,35.0567,15,15,0,0.603688,0.595896,0.007792,0,1,1,1
2.3,1019,2,0.000176562,0.000176562,0.691327,0.690987,0.000340521,34.7653,34.7639,8,8,0,0.661405,0.659669,0.001736,0,1,1,1
2.3,1019,3,0.000194862,0.000194862,0.581207,0.57885,0.00235707,34.3248,34.3154,7,7,0,0.665203,0.659147,0.006056,0,1,1,1
2.4,1020,1,0.00379135,0.00379135,0.763233,0.765711,0.0024786,35.0529,35.0628,15,15,0,0.595896,0.610096,0.0142,1,1,1,0
2.4,1020,2,8.04663e-07,8.04663e-07,0.691329,0.691327,1.49012e-06,34.7653,34.7653,8,8,0,0.659669,0.659661,8e-06,1,1,1,1
2.4,1020,3,0,0,0.581207,0.581207,0,34.3248,34.3248,7,7,0,0.659147,0.659147,0,1,1,1,1
2.5,1021,1,0.00155,0.00155,0.76254,0.763233,0.000692844,35.0502,35.0529,15,15,0,0.610096,0.615616,0.00552,0,1,1,1
2.5,1021,2,0.000285605,0.000285605,0.691879,0.691329,0.000550151,34.7675,34.7653,8,8,0,0.659661,0.656853,0.002808,0,1,1,1
2.5,1021,3,2.68221e-07,2.68221e-07,0.581204,0.581207,3.09944e-06,34.3248,34.3248,7,7,0,0.659147,0.659155,8e-06,0,1,1,1
2.6,1022,1,0.00155218,0.00155218,0.763234,0.76254,0.000693858,35.0529,35.0502,15,15,0,0.615616,0.610088,0.005528,1,1,1,1
2.6,1022,2,0.00107137,0.00107137,0.692659,0.691879,0.000779867,34.7706,34.7675,8,8,0,0.656853,0.650957,0.005896,1,1,1,1
2.6,1022,3,0.000551961,0.000551961,0.574503,0.581204,0.00670111,34.298,34.3248,7,7,0,0.659155,0.676307,0.017152,1,1,1,0
2.7,1023,1,0.0153284,0.0153284,0.769057,0.763234,0.00582331,35.0762,35.0529,15,15,0,0.610088,0.60864,0.001448,0,1,1,1
2.7,1023,2,0.00168491,0.00168491,0.690696,0.692659,0.00196248,34.7628,34.7706,8,8,0,0.650957,0.662885,0.011928,0,1,1,0
2.7,1023,3,0.00622544,0.00622544,0.561504,0.574503,0.0129986,34.246,34.298,7,7,0,0.676307,0.712411,0.036104,0,1,1,0
2.8,1024,1,0.00114491,0.00114491,0.768112,0.769057,0.000944614,35.0724,35.0762,15,15,0,0.60864,0.615608,0.006968,0,1,1,1
2.8,1024,2,0.00117415,0.00117415,0.692331,0.690696,0.0016343,34.7693,34.7628,8,8,0,0.662885,0.653629,0.009256,0,1,1,1
2.8,1024,3,0.00283024,0.00283024,0.555057,0.561504,0.00644749,34.2202,34.246,7,7,0,0.712411,0.730107,0.017696,0,1,1,0
2.9,1025,1,0.0202312,0.0202312,0.765688,0.768112,0.00242484,35.0628,35.0724,15,15,0,0.615608,0.596016,0.019592,0,0,1,0
2.9,1025,2,0.000847021,0.000847021,0.691327,0.692331,0.00100332,34.7653,34.7693,8,8,0,0.653629,0.659669,0.00604,0,1,1,1
2.9,1025,3,0.00168474,0.00168474,0.552916,0.555057,0.002141,34.2117,34.2202,7,7,0,0.730107,0.737339,0.007232,0,1,1,1
3,1026,1,0.000527225,0.000527225,0.766086,0.765688,0.000398815,35.0643,35.0628,15,15,0,0.596016,0.593992,0.002024,0,1,1,1
3,1026,2,7.89296e-05,7.89296e-05,0.691479,0.691327,0.000152051,34.7659,34.7653,8,8,0,0.659669,0.658893,0.000776,0,1,1,1
3,1026,3,0.000212483,0.000212483,0.552737,0.552916,0.000178337,34.2109,34.2117,7,7,0,0.737339,0.738051,0.000712,0,1,1,1
3.1,1027,1,0.00200954,0.00200954,0.763657,0.766086,0.00242925,35.0546,35.0643,15,15,0,0.593992,0.596792,0.0028,1,1,1,1
3.1,1027,2,8.05445e-05,8.05445e-05,0.691324,0.691479,0.00015521,34.7653,34.7659,8,8,0,0.658893,0.659685,0.000792,1,1,1,1
3.1,1027,3,0.00189857,0.00189857,0.555059,0.552737,0.00232208,34.2202,34.2109,7,7,0,0.738051,0.730099,0.007952,1,1,1,1
3.2,1028,1,0.00276113,0.00276113,0.765755,0.763657,0.00209755,35.063,35.0546,15,15,0,0.596792,0.586192,0.0106,2,1,1,0
3.2,1028,2,2.41958e-06,2.41958e-06,0.691329,0.691324,4.64916e-06,34.7653,34.7653,8,8,0,0.659685,0.659661,2.4e-05,2,1,1,1
3.2,1028,3,0.00169088,0.00169088,0.552912,0.555059,0.00214779,34.2116,34.2202,7,7,0,0.730099,0.737355,0.007256,2,1,1,1
3.3,1029,1,0.000383481,0.000383481,0.765464,0.765755,0.000290275,35.0619,35.063,15,15,0,0.586192,0.587664,0.001472,0,1,1,1
3.3,1029,2,0.000285605,0.000285605,0.691879,0.691329,0.000550151,34.7675,34.7653,8,8,0,0.659661,0.656853,0.002808,0,1,1,1
3.3,1029,3,2.42144e-06,2.42144e-06,0.552914,0.552912,2.02656e-06,34.2117,34.2116,7,7,0,0.737355,0.737347,8e-06,0,1,1,1
3.4,1030,1,0.00238178,0.00238178,0.763654,0.765464,0.00181049,35.0546,35.0619,15,15,0,0.587664,0.596808,0.009144,1,1,1,1
3.4,1030,2,0.00107444,0.00107444,0.692661,0.691879,0.000781834,34.7706,34.7675,8,8,0,0.656853,0.650941,0.005912,1,1,1,1
3.4,1030,3,0.00212122,0.00212122,0.555898,0.552914,0.00298381,34.2236,34.2117,7,7,0,0.737347,0.727611,0.009736,1,1,1,1
3.5,1031,1,0.00182324,0.00182324,0.765041,0.763654,0.00138706,35.0602,35.0546,15,15,0,0.596808,0.589808,0.007,2,1,1,1
3.5,1031,2,0.0016863,0.0016863,0.690699,0.692661,0.00196135,34.7628,34.7706,8,8,0,0.650941,0.662869,0.011928,2,1,1,0
3.5,1031,3,0.00137177,0.00137177,0.553542,0.555898,0.0023551,34.2142,34.2236,7,7,0,0.727611,0.734835,0.007224,2,1,1,1
3.6,1032,1,0.00038971,0.00038971,0.764745,0.765041,0.000295818,35.059,35.0602,15,15,0,0.589808,0.591304,0.001496,0,1,1,1
3.6,1032,2,0.00117407,0.00117407,0.692332,0.690699,0.00163215,34.7693,34.7628,8,8,0,0.662869,0.653621,0.009248,0,1,1,1
3.6,1032,3,0.000635646,0.000635646,0.554471,0.553542,0.000928938,34.2179,34.2142,7,7,0,0.734835,0.731843,0.002992,0,1,1,1
3.7,1033,1,0.00143149,0.00143149,0.763655,0.764745,0.00108963,35.0546,35.059,15,15,0,0.591304,0.5968,0.005496,1,1,1,1
3.7,1033,2,0.000845309,0.000845309,0.691334,0.692332,0.00099802,34.7653,34.7693,8,8,0,0.653621,0.659637,0.006016,1,1,1,1
3.7,1033,3,0.00182196,0.00182196,0.552547,0.554471,0.00192434,34.2102,34.2179,7,7,0,0.731843,0.738811,0.006968,1,1,1,1
3.8,1034,1,0.0014378,0.0014378,0.76475,0.763655,0.00109434,35.059,35.0546,15,15,0,0.5968,0.59128,0.00552,2,1,1,1
3.8,1034,2,7.7283e-05,7.7283e-05,0.691482,0.691334,0.000148952,34.7659,34.7653,8,8,0,0.659637,0.658877,0.00076,2,1,1,1
3.8,1034,3,0.000436872,0.000436872,0.552914,0.552547,0.000366688,34.2117,34.2102,7,7,0,0.738811,0.737347,0.001464,2,1,1,1
3.9,1035,1,0.0173699,0.0173699,0.769656,0.76475,0.00490659,35.0786,35.059,15,15,0,0.59128,0.591304,2.4e-05,3,1,1,1
3.9,1035,2,0.00639971,0.00639971,0.692347,0.691482,0.000864267,34.7694,34.7659,8,8,0,0.658877,0.659645,0.000768,3,1,1,1
3.9,1035,3,0.00140409,0.00140409,0.552965,0.552914,5.14388e-05,34.2119,34.2117,7,7,0,0.737347,0.727627,0.00972,3,1,1,1
4,1036,1,0.000660069,0.000660069,0.769114,0.769656,0.000542819,35.0765,35.0786,15,15,0,0.591304,0.59532,0.004016,4,1,1,1
4,1036,2,0,0,0.692347,0.692347,0,34.7694,34.7694,8,8,0,0.659645,0.659645,0,4,1,1,1
4,1036,3,0.00063742,0.00063742,0.551617,0.552965,0.00134861,34.2065,34.2119,7,7,0,0.727627,0.734835,0.007208,4,1,1,1
4.1,1037,1,0.0173255,0.0173255,0.764214,0.769114,0.00489926,35.0569,35.0765,15,15,0,0.59532,0.593984,0.001336,5,1,1,1
4.1,1037,2,0.000273239,0.000273239,0.692856,0.692347,0.000508845,34.7714,34.7694,8,8,0,0.659645,0.656845,0.0028,5,1,1,1
4.1,1037,3,0.00215042,0.00215042,0.554469,0.551617,0.00285214,34.2179,34.2065,7,7,0,0.734835,0.731851,0.002984,5,1,1,1
