0.4,1,10,0,0,24726.3,0,32,0.64
0.4,2,11,0,0,16540.7,0,32,0.64
0.4,3,9,0,0,11317.2,0,32,0.64
0.9,1,10,0,8820,8421.84,0,35,0.64
0.9,2,11,0,11047,5689.04,0,35,0.64
0.9,3,9,0,12914.6,4000.96,0,34,0.64
1.4,1,10,0,8718.64,8481.36,0,35,0.64
1.4,2,11,0,12123.5,5600.08,0,35,0.64
1.4,3,9,0,12408.2,3735.68,0,34,0.64
1.9,1,10,0,8855.68,7887.92,0,35,0.64
1.9,2,11,0,11415.8,5759.04,0,34,0.64
1.9,3,9,0,13187.4,3679.68,0,34,0.64
2.4,1,10,0,8915.84,8376.56,0,35,0.64
2.4,2,11,0,11066.4,5591.84,0,35,0.64
2.4,3,9,0,13215.8,3892.64,0,34,0.64
2.9,1,10,0,8970.88,8431.36,0,35,0.64
2.9,2,11,0,12090.6,5719.92,0,35,0.64
2.9,3,9,0,12941.4,3679.76,0,34,0.64
3.4,1,10,0,8970.88,8408.16,0,35,0.64
3.4,2,11,0,11906.5,5664.32,0,35,0.64
3.4,3,9,0,12586.8,3730.16,0,34,0.64
3.9,1,10,0,8926.32,8541.28,0,35,0.64
3.9,2,11,0,12233.4,5308.08,0,35,0.64
3.9,3,9,0,12780.6,4066.56,0,34,0.64
4.4,1,10,0,9009.2,8301.68,0,35,0.64
4.4,2,11,0,11124,5425.76,0,35,0.64
4.4,3,9,0,13006.9,3945.12,0,34,0.64
4.9,1,10,0,8893.92,8024.08,0,35,0.64
4.9,2,11,0,11927,5858.64,0,34,0.64
4.9,3,9,0,13529,3679.76,0,34,0.64
5.4,1,10,0,8905.68,7757.2,0,35,0.64
5.4,2,11,0,11829.3,5717.44,0,34,0.64
5.4,3,9,0,12811.6,3792.16,0,34,0.64
5.9,1,10,0,8957.04,7780.24,0,35,0.64
5.9,2,11,0,12093.8,5356.56,0,34,0.64
5.9,3,9,0,13802.4,3941.76,0,34,0.64
6.4,1,10,0,9083.04,8171.68,0,35,0.64
6.4,2,11,0,11314.9,5364,0,35,0.64
6.4,3,9,0,14049.7,3859.12,0,34,0.64
6.9,1,10,0,9137.36,7772.48,0,35,0.64
6.9,2,11,0,12013.8,5702.88,0,34,0.64
6.9,3,9,0,13878.6,3921.84,0,34,0.64
7.4,1,10,0,9336.8,8506.32,0,35,0.64
7.4,2,11,0,11094.4,5454.24,0,35,0.64
7.4,3,9,0,14120.8,3837.84,0,34,0.64
7.9,1,10,0,9426.8,7722.64,0,35,0.64
7.9,2,11,0,12076.5,5764.8,0,34,0.64
7.9,3,9,0,13808.6,3766.56,0,34,0.64
8.4,1,10,0,9027.6,8558.16,0,35,0.64
8.4,2,11,0,11237.9,5286.88,0,35,0.64
8.4,3,9,0,14065.8,3981.44,0,34,0.64
8.9,1,10,0,9180.24,7249.12,0,35,0.64
8.9,2,11,0,12071.8,5703.2,0,34,0.64
8.9,3,9,0,14692.3,3807.68,0,34,0.64
9.4,1,10,0,8923.44,7808.72,0,35,0.64
9.4,2,11,0,11237.9,4938,0,35,0.64
9.4,3,9,0,14868,3952.88,0,34,0.64
9.9,1,10,0,9193.12,6420,0,35,0.64
9.9,2,11,0,11706.6,5580.48,0,34,0.64
9.9,3,9,0,14345.7,3898.96,0,34,0.64
10.4,1,10,0,9187.12,6881.84,0,35,0.64
