0.5,1001,1,-1,-1,0.779976,0.779976,-1,35.1199,35.1199,10,10,0,0.693947,0.693947,0,0,0,0,0
0.5,1001,2,-1,-1,0.752018,0.752018,-1,35.0081,35.0081,11,11,0,0.980733,0.980733,0,0,0,0,0
0.5,1001,3,-1,-1,0.685809,0.685809,-1,34.7432,34.7432,9,9,0,1.26833,1.26833,0,0,0,0,0
0.6,1002,1,0.00027224,0.00027224,0.780405,0.779976,0.000428498,35.1216,35.1199,10,10,0,0.693947,0.698763,0.004816,0,1,1,1
0.6,1002,2,0.00345013,0.00345013,0.750843,0.752018,0.00117493,35.0034,35.0081,11,11,0,0.980733,0.953925,0.026808,0,1,1,0
0.6,1002,3,0.00234748,0.00234748,0.679267,0.685809,0.00654238,34.7171,34.7432,9,9,0,1.26833,1.20644,0.061888,0,1,1,0
0.7,1003,1,0.000841606,0.000841606,0.782243,0.780405,0.00183851,35.129,35.1216,10,10,0,0.698763,0.738507,0.039744,0,1,1,0
0.7,1003,2,0.0145972,0.0145972,0.746992,0.750843,0.003851,34.988,35.0034,11,11,0,0.953925,1.04785,0.09392,0,1,1,0
0.7,1003,3,0.00985407,0.00985407,0.672,0.679267,0.007267,34.688,34.7171,9,9,0,1.20644,1.16194,0.044504,0,1,1,0
0.8,1004,1,0.00111581,0.00111581,0.780646,0.782243,0.00159752,35.1226,35.129,10,10,0,0.738507,0.756987,0.01848,0,1,1,0
0.8,1004,2,0.0121534,0.0121534,0.751676,0.746992,0.00468385,35.0067,34.988,11,11,0,1.04785,0.972917,0.074928,0,1,1,0
0.8,1004,3,0.00227918,0.00227918,0.670699,0.672,0.0013001,34.6828,34.688,9,9,0,1.16194,1.15646,0.005472,0,1,1,1
0.9,1005,1,0.000392145,0.000392145,0.781382,0.780646,0.000736475,35.1255,35.1226,10,10,0,0.756987,0.748667,0.00832,0,1,1,1
0.9,1005,2,0.00550805,0.00550805,0.750127,0.751676,0.0015496,35.0005,35.0067,11,11,0,0.972917,0.938029,0.034888,0,1,1,0
0.9,1005,3,0.010248,0.010248,0.678159,0.670699,0.00745994,34.7126,34.6828,9,9,0,1.15646,1.19146,0.035,0,1,1,0
1,1006,1,0.000717271,0.000717271,0.782239,0.781382,0.000856876,35.129,35.1255,10,10,0,0.748667,0.738555,0.010112,0,1,1,0
1,1006,2,0.0115857,0.0115857,0.750371,0.750127,0.000243962,35.0015,35.0005,11,11,0,0.938029,1.02017,0.082136,0,1,1,0
1,1006,3,0.00489073,0.00489073,0.673768,0.678159,0.00439179,34.6951,34.7126,9,9,0,1.19146,1.16944,0.022024,0,1,1,0
1.1,1007,1,0.000101525,0.000101525,0.782305,0.782239,6.61612e-05,35.1292,35.129,10,10,0,0.738555,0.737787,0.000768,0,1,1,1
1.1,1007,2,0.00696447,0.00696447,0.746412,0.750371,0.00395846,34.9856,35.0015,11,11,0,1.02017,1.05183,0.031664,0,1,1,0
1.1,1007,3,0.00570251,0.00570251,0.670504,0.673768,0.00326335,34.682,34.6951,9,9,0,1.16944,1.15563,0.013808,0,1,1,0
1.2,1008,1,0.00168374,0.00168374,0.780651,0.782305,0.00165445,35.1226,35.1292,10,10,0,0.737787,0.760971,0.023184,0,1,1,0
1.2,1008,2,0.0106141,0.0106141,0.752288,0.746412,0.0058763,35.0092,34.9856,11,11,0,1.05183,0.991197,0.060632,0,1,1,0
1.2,1008,3,0.00560183,0.00560183,0.673692,0.670504,0.00318825,34.6948,34.682,9,9,0,1.15563,1.16909,0.013456,0,1,1,0
1.3,1009,1,0.000471687,0.000471687,0.780644,0.780651,7.15256e-06,35.1226,35.1226,10,10,0,0.760971,0.757011,0.00396,0,1,1,1
1.3,1009,2,0.00754502,0.00754502,0.750608,0.752288,0.00168073,35.0024,35.0092,11,11,0,0.991197,0.941149,0.050048,0,1,1,0
1.3,1009,3,0.0061885,0.0061885,0.678914,0.673692,0.00522143,34.7157,34.6948,9,9,0,1.16909,1.19751,0.028424,0,1,1,0
1.4,1010,1,0.0011137,0.0011137,0.782241,0.780644,0.00159752,35.129,35.1226,10,10,0,0.757011,0.738531,0.01848,0,1,1,0
1.4,1010,2,0.0167887,0.0167887,0.747307,0.750608,0.00330114,34.9892,35.0024,11,11,0,0.941149,1.04569,0.104536,0,1,1,0
1.4,1010,3,0.0171117,0.0171117,0.667412,0.678914,0.0115016,34.6696,34.7157,9,9,0,1.19751,1.14082,0.056696,0,1,1,0
1.5,1011,1,0.00111181,0.00111181,0.780647,0.782241,0.00159401,35.1226,35.129,10,10,0,0.738531,0.756971,0.01844,0,1,1,0
1.5,1011,2,0.0110331,0.0110331,0.751893,0.747307,0.00458682,35.0076,34.9892,11,11,0,1.04569,0.977877,0.067808,0,1,1,0
1.5,1011,3,0.0193434,0.0193434,0.679733,0.667412,0.0123204,34.7189,34.6696,9,9,0,1.14082,1.22347,0.082656,0,1,1,0
1.6,1012,1,0.000615304,0.000615304,0.781802,0.780647,0.00115472,35.1272,35.1226,10,10,0,0.756971,0.743915,0.013056,0,1,1,0
1.6,1012,2,0.00194614,0.00194614,0.751231,0.751893,0.000662386,35.0049,35.0076,11,11,0,0.977877,0.962757,0.01512,0,1,1,0
