0.4,1,0.12383,0.897322,-0.5,35.5893,24726.3,0.10881
0.4,2,-0.129983,0.871143,0.5,35.4846,16540.7,0.108289
0.4,3,-0.436843,0.800891,2,35.2036,11317.2,0.107297
0.9,1,0.019957,0.781382,-0,35.1255,17241.8,0.10881
0.9,2,-0.149206,0.750127,0.5,35.0005,16736,0.108289
0.9,3,-0.102056,0.678159,0.5,34.7126,16915.6,0.107297
1.4,1,0.0192366,0.782241,-0,35.129,17200,0.10881
1.4,2,-0.132027,0.747307,0.5,34.9892,17723.6,0.108289
1.4,3,-0.0861414,0.667412,0.5,34.6696,16143.8,0.107297
1.9,1,0.0201252,0.781067,-0,35.1243,16743.6,0.10881
1.9,2,-0.143442,0.751763,0.5,35.0071,17174.8,0.108289
1.9,3,-0.105153,0.67958,0.5,34.7183,16867.1,0.107297
2.4,1,0.0204713,0.780612,-0,35.1224,17292.4,0.10881
2.4,2,-0.148989,0.750446,0.5,35.0018,16658.2,0.108289
2.4,3,-0.105364,0.679668,0.5,34.7187,17108.4,0.107297
2.9,1,0.0211808,0.78069,-0,35.1228,17402.2,0.10881
2.9,2,-0.132762,0.747785,0.5,34.9911,17810.5,0.108289
2.9,3,-0.102655,0.678522,0.5,34.7141,16621.2,0.107297
3.4,1,0.0211808,0.78069,-0,35.1228,17379,0.10881
3.4,2,-0.136897,0.74995,0.5,34.9998,17570.8,0.108289
3.4,3,-0.0927312,0.671226,0.5,34.6849,16317,0.107297
3.9,1,0.0206065,0.780627,-0,35.1225,17467.6,0.10881
3.9,2,-0.129586,0.745718,0.5,34.9829,17541.4,0.108289
3.9,3,-0.0992274,0.675598,0.5,34.7024,16847.1,0.107297
4.4,1,0.0216748,0.780744,-0,35.123,17310.9,0.10881
4.4,2,-0.147879,0.750693,0.5,35.0028,16549.8,0.108289
4.4,3,-0.103169,0.679073,0.5,34.7163,16952,0.107297
4.9,1,0.0203054,0.780728,-0,35.1229,16918,0.10881
4.9,2,-0.136508,0.749723,0.5,34.9989,17785.6,0.108289
4.9,3,-0.106696,0.682549,0.5,34.7302,17208.8,0.107297
5.4,1,0.0203608,0.780624,-0,35.1225,16662.9,0.10881
5.4,2,-0.138361,0.7508,0.5,35.0032,17546.7,0.108289
5.4,3,-0.099864,0.676272,0.5,34.7051,16603.8,0.107297
5.9,1,0.0210024,0.780671,-0,35.1227,16737.3,0.10881
5.9,2,-0.132688,0.747738,0.5,34.991,17450.4,0.108289
5.9,3,-0.105974,0.688308,0.5,34.7532,17744.2,0.107297
6.4,1,0.0232748,0.780637,-0,35.1225,17254.7,0.10881
6.4,2,-0.14474,0.751321,0.5,35.0053,16678.9,0.108289
